"english_source","preferred_id","alternate_or_adverse","decision_status","semantic_constraint","authority_evidence","evidence_locator","evidence_sha256_or_access","decision_date"
"First-Order Logic semantics determinate source defects","path-scoped arity, delimiter, satisfaction-clause, relation-argument, index, witness, assignment-base, carrier, extensionality, and free-variable repairs","literal reproduction of unary-only function interpretation, malformed formulae, undefined variables, invalid witnesses, duplicate carriers, or missing capture and sentence premises","corrected_source_defects","Repairs are admitted only where the frozen expression is malformed or conflicts with its own interpretation, assignment, satisfaction, or substitution definitions; unrelated mathematical structure remains invariant.","Open Logic frozen source | 259-check deterministic replay | independent semantic review","intro-semantics.tex; structures.tex; covered-structures.tex; satisfaction.tex; assignments.tex; extensionality.tex; semantic-notions.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"exclusive logical alternatives in Indonesian","P atau Q; either both or neither rendered as two alternatives joined by atau","baik P maupun Q for exclusive alternatives","corrected_target_semantic_defect","Baik ... maupun ... asserts conjunction in Indonesian and cannot render the exclusive alternatives used in the biconditional proof; ordinary atau separates the two complete cases.","Independent Indonesian semantic replay | deterministic target assertions","first-order-logic/syntax-and-semantics/assignments.tex biconditional case proof","986d9b94f7150d23b0bda9262665b57bc4832992b010564ab29bbec22e7086f8","2026-08-13"
"First-Order Logic semantics upstream clarification candidates","preserve fresh-constant clarification and unused-structure cleanup as bounded later issue candidates","silently certify or silently rewrite low-confidence source exposition","adverse_upstream_clarification_candidates","The final reassignment problem would benefit from explicit freshness and mutual-distinctness conditions; prop:quant-terms contains a harmless unused structure declaration. Neither is an unresolved Indonesian defect.","Open Logic frozen source | independent semantic replay","assignments.tex final problem; semantic-notions.tex prop:quant-terms","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"theory; model; strict linear order","teori; model; urutan linear ketat","theory/model untranslated; urutan linear without strict qualifier","admit_source_bound","A theory is a set of sentences; a model is a structure satisfying them; strict linear orders must remain distinct from reflexive non-strict linear orders.","Open Logic frozen source | independent semantic replay","first-order-logic/models-theories/introduction.tex; theories.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Theories and Their Models determinate source defects","path-scoped strict-order, object-variable, formula-parenthesis, and malformed-prose repairs","literal reproduction of non-strict converse, bare meta-font variable, unbalanced displayed formulae, or ungrammatical relation-domain prose","corrected_source_defects","Repairs are admitted only where the frozen expression conflicts with its theory statement, object-language notation, delimiter structure, or recoverable sentence meaning; unrelated mathematical structure remains invariant.","Open Logic frozen source | 218-check deterministic replay | independent semantic review","theories.tex; expressing-relations.tex; set-theory.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Open Logic uppercase semantic-token syntax","preserve !!^{token} and !!^{token}s at sentence start","rewrite valid carets as malformed tokens","retracted_false_positive","The project token grammar explicitly defines these as uppercase singular and plural forms. Seven audit flags were retracted and must not enter the adverse source list.","doc/Tokenized-Text.md line 5 | deterministic token grammar replay","models-theories batch uppercase token occurrences","3e5601e5711c74f3cc22f2fe08365d05b8e87754160e3f0f554edfc49bc86a80","2026-08-13"
"logicism; many-sorted logic; forcing relation; default logic","logisisme; logika banyak-sorta; relasi pemaksaan; logika default","logikaisme; logika multi-sorta; hubungan pemaksaan; logika bawaan","admit_source_bound","Keep the philosophical doctrine, typed-domain framework, Kripke semantic relation, and nonmonotonic default system terminologically distinct.","Open Logic frozen source | independent semantic replay","first-order-logic/beyond/introduction.tex; many-sorted-logic.tex; intuitionistic-logic.tex; other-logics.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"semantic entailment in the beyond chapter","perikutan","konsekuensi; entailment untranslated","admit_source_bound","Perikutan remains the semantic relation and must not be collapsed into syntactic provability.","Open Logic frozen source | existing locale terminology | independent semantic replay","first-order-logic/beyond/second-order-logic.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"married-pair example relation","membentuk pasangan menikah multinasional","suami; istri; gendered spouse roles","admit_source_bound","The source relation states only that two people form a multinational married pair; the Indonesian rendering must not introduce a husband/wife assignment.","Open Logic frozen source | independent Indonesian semantic replay","first-order-logic/beyond/many-sorted-logic.tex","ca792e9830bcbcc12527912febbf7f52bf8c677adcd04b4068ff881158ce5eb0","2026-08-13"
"Beyond First-Order Logic determinate source defects","path-scoped atomic-relation macro, successor-symbol, and lambda-binder-type repairs","literal reproduction of Obj for an atomic relation formula, s(x) notation outside the declared signature, or sigma as the lambda-bound variable type","corrected_source_defects","Repairs are admitted only where the frozen expression conflicts with the immediately preceding formula definition, the declared arithmetic signature, or the lambda typing judgment; unrelated mathematical structure remains invariant.","Open Logic frozen source | 235-check deterministic replay | independent semantic review","second-order-logic.tex lines 56 and 142; higher-order-logic.tex line 87","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"intuitionistic equivalent-schema list","preserve items 1 and 3 exactly and flag their duplicate expansion","silently invent a different third schema","adverse_upstream_pedagogical_risk","When negation is expanded as implication to falsehood, items 1 and 3 become duplicate double-negation-elimination schemata. The target preserves both and records the upstream risk.","Open Logic frozen source | independent semantic replay","first-order-logic/beyond/intuitionistic-logic.tex equivalent-schema list","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"explicit irrational-power witness","preserve b=log_3 4 and flag the omitted irrationality justification","silently assert that the displayed calculation proves b irrational","adverse_upstream_proof_scope_risk","The calculation establishes a^b=2 but the local passage does not establish that b=log_3 4 is irrational. The target preserves the source without an unmarked inference.","Open Logic frozen source | independent semantic replay","first-order-logic/beyond/intuitionistic-logic.tex explicit witness","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Beyond audit false positives","preserve iterated-binder ellipsis, R-not-free comprehension condition, and S5 universal-frame presentation","rewrite any of the three as source defects","retracted_false_positive","The compact binder notation is intentional; the restriction on free R is mathematically necessary; and universal accessibility is a valid simplifying S5 frame-class presentation for this passage.","Open Logic frozen source | independent semantic replay","second-order-logic.tex; modal-logics.tex","ca792e9830bcbcc12527912febbf7f52bf8c677adcd04b4068ff881158ce5eb0","2026-08-13"
"Model Theory Basics term family","teori model; reduk; ekspansi; substruktur; peluapan; ekuivalen secara elementer; isomorfisme parsial; sifat bolak-balik; peringkat kuantor; urutan linear rapat","model theory or structure untranslated; pengurangan for reduct; perluasan for expansion; overflow; elementarily equivalent untranslated; back-and-forth untranslated","admit_source_bound","Keep language reduct/expansion distinct from proof-theoretic reduction and ordinary extension; keep elementary equivalence distinct from isomorphism; use back-and-forth only for the stated partial-isomorphism extension property.","Open Logic frozen source | established Indonesian locale | independent semantic replay","model-theory/model-theory.tex; model-theory/basics/*.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Model Theory Basics Indonesian target defects","one DLO duplicate; three arity surfaces; three raw -structure fallbacks; three enumerable adjective-order surfaces","retain duplicated prose, bertempat arity, English -structure, or prenominal enumerable token order","corrected_target_defects","Indonesian mathematical prose requires coherent arity phrasing, translated structure surfaces, and post-nominal adjective/token placement; all ten exact occurrences were corrected and independently replayed.","Independent Indonesian semantic and rendered-page review","reducts-and-expansions.tex; theory-of-m.tex; dlo.tex","1c08bf4bb9ff8c06439e3689893a0a2c8ec3c534ffb26217f07eae838ad24b39","2026-08-13"
"Model Theory Basics determinate source defects","nonempty substructure domain; explicit isomorphism argument ranges; M-prime interpretation and closing parenthesis; parity, free-variable, sequence-length, and finite-type repairs; complete DLO proof cases","literal reproduction of empty structure domain, wrong interpretation carrier, malformed formula, off-by-one enumeration, scope ambiguity, false syntactic finiteness, or omitted proof cases","corrected_source_defects","Repairs are admitted only where the frozen expression conflicts with the project's nonempty-domain convention, displayed isomorphism calculation, enumeration starting at zero, stated free-variable semantics, finiteness modulo logical equivalence, or the full back-and-forth obligation.","Open Logic frozen source | 311-check deterministic replay | independent semantic review","substructures.tex; isomorphism.tex; partial-iso.tex; dlo.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Model Theory Basics upstream candidates and preserved risks","correct the English is at planning grammar; qualify definable as parameter-free or require fixed parameters; require function-value definedness in partial isomorphisms","silently certify parameterized definability under arbitrary automorphisms or apply an undefined partial function","adverse_upstream_candidates","The grammar issue is determinate. The automorphism problem is false for unrestricted parameterized definitions, and the partial-function clause needs a domain/closure qualification; the Indonesian target preserves the latter two source risks without an unmarked rewrite.","Open Logic frozen source | independent semantic review","model-theory.tex line 15; isomorphism.tex lines 125-127; partial-iso.tex lines 26-28","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Model Theory Basics audit false positives","preserve Sat-slash negated satisfaction, the empty partial map under positive arities, and the direct R/Q partial-isomorphism remark","rewrite valid project syntax or valid model-theory claims as defects","retracted_false_positive","Sat-slash is the declared negated-satisfaction macro; Open Logic's positive arities make the empty map valid here; and the second back-and-forth theorem permits the direct R/Q elementary-equivalence argument without equal cardinality.","Open Logic frozen source | independent semantic replay","theory-of-m.tex; partial-iso.tex; dlo.tex","1c08bf4bb9ff8c06439e3689893a0a2c8ec3c534ffb26217f07eae838ad24b39","2026-08-13"
"standard/nonstandard model and element","model standar/nonstandar; unsur standar/nonstandar","model baku; elemen bukan-standar","admit_source_bound","Keep isomorphism type of the arithmetic structure distinct from whether an individual lies in the range of the numeral interpretation; do not infer the converse for arbitrary structures.","Open Logic frozen source | independent OLP-0191--0197 semantic replay","model-theory/models-of-arithmetic/*.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"primitive recursive; computable; partial computable","rekursif primitif; dapat dihitung; dapat dihitung parsial","rekursif dasar; komputabel without definition; partially computable untranslated","admit_source_bound","Preserve the hierarchy and distinguish total computability from partial computability; equations between partial values use partial equality when either side may be undefined.","Open Logic frozen source | independent OLP-0208--0251 semantic replay","computability/recursive-functions; computability/computability-theory","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"computably enumerable; c.e.","terenumerasi secara komputabel; c.e.","computably enumerable fallback; dapat dihitung","admit_locale_token","Keep enumerability distinct from decidability and total computability. The locale token must render Indonesian in headings, definitions, and prose while preserving the conventional abbreviation.","Open Logic frozen source | locale token replay | independent semantic review","open-logic-config.sty; prop-reduce.tex; complete-ce-sets.tex","84b09e09ccfa1e03f45ef8cf0de20a3525f9c196317ee4f4a675ab27f1f0cbdd","2026-08-13"
"partial-function equality","\\simeq","= when one or both sides may be undefined","corrected_source_defects","Use partial equality exactly when both sides may be undefined; retain ordinary equality for total expressions and function-level extensional equality.","Open Logic frozen source | independent computability audit","equiv-ce-defs.tex; total.tex; rice-theorem.tex; fixed-point-thm.tex; def-functions-self-reference.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Models of Arithmetic determinate source defects","path-scoped proof-code, nonstandardity, compactness/countability, predecessor/block, bijection, and Tennenbaum-scope repairs","literal reproduction of missing binders, false converses, omitted proof cases, or uniqueness stronger than isomorphism","corrected_source_defects","Repairs are admitted only where the frozen claim contradicts the local definitions or the proof obligation; all other arithmetic model content remains source-bound.","Open Logic frozen source | independent OLP-0191--0197 semantic replay","model-theory/models-of-arithmetic/*.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Interpolation and Lindstrom determinate source defects","path-scoped priming, carrier, formula/sentence, satisfaction, representative, and normality repairs","literal reproduction of undefined structures, malformed formulas, or a theorem missing assumptions used by its proof","corrected_source_defects","The Indonesian target repairs only exact conflicts with the immediately used language, model, or theorem hypotheses and preserves the separate minimal-union compatibility risk.","Open Logic frozen source | independent OLP-0198--0207 semantic replay","model-theory/interpolation/*.tex; model-theory/lindstrom/*.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"Recursive Functions and Computability determinate source defects","path-scoped recursion/projection indices, sequence/tree bounds, diagonal variables, reduction directions, and partial equalities","literal reproduction of off-by-one traversals, free variables, reversed reductions, or total equality for partial values","corrected_source_defects","Repairs are admitted only where the source conflicts with its own construction, enumeration, or partial-function convention; code identifiers and intentional English literals remain invariant.","Open Logic frozen source | independent OLP-0208--0251 semantic replay","computability/recursive-functions/*.tex; computability/computability-theory/*.tex","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"OLP-0191--0251 audit retractions and preserved risks","preserve valid project composition/negation macros, characteristic complement identity, exercise reduction, total equality, and code literals; retain exact sequence-bound, enumeration, typing, compatibility, and arity risks","classify every command-count difference or English code token as a defect","retracted_false_positive_and_adverse_preservation","Project macro semantics and code strings control before surface heuristics. Remaining risks are recorded as upstream candidates without silently certifying or rewriting them.","Open Logic frozen source | bounded independent semantic reviews","OLP-0191--0251 review receipt and deterministic replay","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-13"
"cumulative reader synthetic references and paragraph boundary","single localized reference names and explicit paragraph separation after a conditional block","Theorem Teorema; Lemma Lema; a.Kita","corrected_target_render_defects","Synthetic labels must contain only the reference value because cleveref supplies the localized type name; conditional prose ending a sentence must not absorb the following paragraph.","175-page cumulative build | exact-resolution visual review","first-order-logic-model-theory-computability-id.tex pages 95/107/110; equiv-ce-defs.tex page 156","887617dedd182e1693894f777d75ecd3952a8824da91cf04f7a8a931b37f89cf","2026-08-13"
"Incompleteness determinate source defects","path-scoped hypotheses, binders, indices, proof predicates, coding notation, citations, labels, and partial-equality repairs","literal reproduction of claims or formulas that conflict with the frozen source's own definitions, displayed rules, or proof obligations","corrected_source_defects","Apply only the 47 exact corrections bound by the Incompleteness replay; retain every other formal surface and record uncertain source risks rather than silently certifying or rewriting them.","Open Logic frozen source | independent OLP-0274--0321 semantic replay | 305-page cumulative build","incompleteness/**/*.tex; qa_incompleteness_batch_replay.ps1","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-14"
"Incompleteness preserved upstream risks and retractions","retain exact Subseq/path-bound, aggregate-QR, beta-remainder, alternating-formula, existential-scope, meta-constant, representing-formula, and coded-relation candidates; retract valid project-macro false positives","classify every unfamiliar macro, cross-line scope, or notation choice as a target defect","retracted_false_positive_and_adverse_preservation","English-source candidates remain bounded for the post-closure upstream courtesy issue; valid Open Logic token and notation conventions are not adverse evidence.","Open Logic frozen source | independent OLP-0274--0321 source audit","OPENLOGIC_INCOMPLETENESS_CHECKPOINT_20260814.md","9620cc73f9c8e0ad003c514a5d3748f29611c4c0","2026-08-14"
